Gene	log2(MB231_day21)-log2(MB231_day7)	log2(LM2_day21)-log2(LM2_day7)
ORMDL3	-0.770242388	0.213171682
OS9	0.044420531	-0.132035293
OSBP	-1.04836288	-0.903597193
OSBP2	-0.037141768	-0.695323942
OSBPL10	-0.483178383	-0.091874603
OSBPL11	-0.112592135	0.051463419
OSBPL1A	0.097439565	-0.681988343
OSBPL2	-0.421950938	-1.132338485
OSBPL3	-0.54008185	-0.409783592
OSBPL5	0.0829437	-0.777866044
OSBPL6	-0.127130526	-0.187433549
OSBPL7	-0.501197464	-0.725198491
OSBPL8	-0.298768207	-0.572606664
OSBPL9	-0.652254599	-0.929044025
OSCAR	-0.136117535	-1.079998579
OSCP1	0.072813232	-0.667294951
OSGEP	-1.32486945	-1.429557181
OSGEPL1	-0.370903976	-0.195129137
OSGIN1	-0.06276922	-0.121813661
OSGIN2	0.151515446	-0.607581858
OSM	-0.630639182	-0.199773084
OSMR	-0.163636338	0.046170853
OSR1	-0.361783749	-1.572493016
OSR2	-0.624443698	-1.630642452
OST4	-0.808559347	-1.860610844
OSTC	-1.831543701	-1.393349802
OSTF1	-0.4165326	0.345038216
OSTM1	-1.605526087	-0.119147123
OSTN	0.177975282	-0.406568508
OTC	0.004887532	-0.782570055
OTOA	0.006351828	0.000397926
OTOF	-0.761694889	-0.294611536
OTOL1	0.729374634	-0.447531306
OTOP1	0.177745098	-0.92811095
OTOP2	0.150145735	-0.530904066
OTOP3	-0.118728031	-0.081944263
OTOR	0.212534478	-0.691502017
OTOS	-0.229702295	-0.616679872
OTP	-0.516208906	-0.940108937
OTUB1	0.029637462	-0.881424816
OTUB2	-0.149220021	-0.235716105
OTUD1	-0.524994093	-1.058668805
OTUD3	0.171241506	0.667487621
OTUD4	-0.385963942	-1.323665117
OTUD5	0.019216378	-0.951557851
OTUD6A	-0.236196235	0.068189168
OTUD6B	0.361637677	-0.401802241
OTUD7A	-0.778297424	-0.773005594
OTUD7B	-0.820458408	0.195750124
OTX1	-0.108272726	-1.192750401
OTX2	-0.084821213	-1.491315044
OVCA2	-0.134621792	-2.244849889
OVCH1	0.258786704	-0.281308796
OVCH2	-0.332671324	-0.436645281
OVGP1	-0.183918737	0.001596131
OVOL1	-0.219385132	-1.393371625
OVOL2	-0.800175843	0.283061647
OXA1L	0.07286516	-0.788902659
OXCT1	-0.294593848	-0.995305835
OXCT2	-0.037530837	-1.075510451
OXER1	-0.751524797	0.538166548
OXGR1	0.433030785	-1.192632672
OXNAD1	-0.211485003	-0.779492744
OXR1	-0.366724205	-0.536898252
OXSM	0.214791793	-0.457277162
OXSR1	0.011150172	-0.714088673
OXT	-0.017109938	-0.040758994
OXTR	-0.388317899	0.269908893
P2RX1	0.026843292	-0.832750428
P2RX2	-0.692976786	-0.754170425
P2RX3	-0.320688504	-0.712967983
P2RX4	-0.194122529	-0.731901163
P2RX5	-0.433965997	-0.258679622
P2RX6	-0.857128888	-0.9264756
P2RX7	-0.263042816	-0.636061672
P2RY1	-0.257642271	-0.290512567
P2RY10	-0.111417209	-0.342595273
P2RY11	-0.696420739	-1.062874017
P2RY12	-0.070647219	-0.200824481
P2RY13	-0.440727556	-0.673479078
P2RY14	0.017090594	-0.38564155
P2RY2	-0.138679516	-0.07117367
P2RY4	-1.013668971	-0.482066417
P2RY6	-0.65497119	-1.415421041
P4HA1	-0.273579433	-0.227088563
P4HA2	-0.23795601	-0.87299988
P4HA3	0.130043374	0.19922666
P4HB	0.01047146	-0.907533073
P4HTM	-1.091004443	-2.304918616
PA2G4	-1.031996672	-3.755832771
PAAF1	-0.43017746	-0.837561805
PABPC1	-1.711246727	-2.087931128
PABPC1L	-1.381339679	-1.18094125
PABPC1L2A	-0.489515715	-1.198601858
PABPC1L2B	-0.530158408	-0.957253206
PABPC3	-0.352149419	-0.246317584
PABPC4	-0.127424736	-0.491727868
PABPC5	-0.217643308	0.002418706
PABPN1L	-0.215645945	-3.554722773
PACRG	-0.471959747	-0.614372874
PACRGL	-0.558898319	-1.263876985
PACS1	-0.311602548	-1.268801635
PACS2	0.183628222	-2.427471405
PACSIN1	-0.104091037	-1.406396982
PACSIN2	0.144288557	0.150422874
PACSIN3	-0.948618991	0.652142171
PADI1	0.029618237	-0.561204732
PADI2	-0.413561449	-0.45394371
PADI3	-0.089589142	-0.229343525
PADI4	-0.932657403	-0.934785413
PADI6	-0.431984566	-0.605540988
PAEP	0.008311749	-0.786370554
PAF1	-1.077406652	-1.696596828
PAFAH1B1	-0.574336578	-1.320549654
PAFAH1B2	-0.010985447	-0.961948833
PAFAH1B3	-0.943747729	0.52663078
PAFAH2	0.245520662	-0.157530985
PAG1	-0.19796312	-0.534719903
PAGE1	-0.310432064	-0.643180841
PAGE2	-0.415489287	-0.191899075
PAGE2B	-0.082788599	0.039393438
PAGE4	-0.440264265	-1.056758773
PAGE5	0.026114561	-1.079083158
PAH	0.427394859	0.241025817
PAICS	-0.297734239	-0.89901295
PAIP1	-0.09861889	0.207116235
PAIP2	-0.528179437	-0.754206678
PAIP2B	-0.240103283	-0.775192555
PAK1	-0.048841998	0.142625884
PAK1IP1	-1.135324452	-2.847669156
PAK2	-0.567606045	-0.739128668
PAK3	-0.095802355	-0.490137854
PAK4	-0.82869996	-0.94424346
PAK6	0.207222573	0.047624849
PAK7	0.255098338	0.31524087
PALB2	-0.015833731	-0.178143648
PALLD	-0.314866298	-0.018075591
PALM	-0.552757195	-0.687292624
PALM2	-0.721813369	-0.394583402
PALM2-AKAP2	-0.103680281	-1.187504393
PALM3	-0.781182409	-0.626548669
PALMD	0.215161217	-1.565598491
PAM	-0.335213631	-0.89498724
PAMR1	-0.519705802	-1.367738648
PAN2	-0.272271788	-0.869969146
PAN3	-0.432335363	-0.79091676
PANK1	0.370335141	-0.281579081
PANK2	-0.315309254	-0.077634
PANK3	-0.4862675	-1.016053088
PANK4	0.019572527	-0.866468903
PANX1	-0.210251075	-0.489128948
PANX2	0.003351884	-0.904726956
PANX3	-0.470500304	-0.704166205
PAOX	-0.034903951	-0.379136745
PAPD4	-0.165309558	-0.30243343
PAPD5	-0.466009855	0.270609465
PAPD7	-0.099235638	-0.971058342
PAPL	-0.984817491	-0.728224362
PAPLN	-1.028971395	-0.206406638
PAPOLA	-0.002718436	0.190957544
PAPOLB	-0.042454391	0.434156597
PAPOLG	-0.370626289	0.233041791
PAPPA	-0.391086251	0.039307879
PAPPA2	0.074042269	-0.37617382
PAPSS1	-0.360498064	-1.020974556
PAPSS2	-0.200122554	-0.189928279
PAQR3	0.025658705	-1.371341618
PAQR4	-0.437522223	-0.774975703
PAQR5	-0.300442682	-1.037390423
PAQR6	-0.850263885	-1.003425026
PAQR7	-0.015741493	-0.885161396
PAQR8	-0.098646722	-0.793298798
PAQR9	-0.167872645	0.776271047
PARD3	-0.056627652	-0.061715548
PARD3B	-0.19036436	-1.830525755
PARD6A	-0.244292254	-1.229834026
PARD6B	-0.745387101	-1.079618599
PARD6G	0.515783352	0.02878348
PARG	-0.156820782	-0.216890959
PARK2	0.029433625	-0.820153205
PARK7	-0.509775005	-0.87942797
PARL	-0.233424626	0.142425415
PARM1	-0.121409543	-0.443558924
PARN	-0.088129302	-0.557951581
PARP1	-0.349025452	-0.18592271
PARP10	-0.286411461	-0.320089583
PARP11	-0.321207877	-2.193083863
PARP12	-0.270362759	-0.417284214
PARP14	0.123310372	-0.652402844
PARP15	-0.175119231	0.050838366
PARP16	-0.529858511	-0.188244078
PARP2	-0.135676472	-0.893945889
PARP3	-0.561807533	-1.106007563
PARP4	-0.56669667	0.073622296
PARP6	-1.475637704	-1.974056629
PARP8	-0.709785913	-2.17860362
PARP9	-0.108395852	0.176261764
PARS2	-0.389974569	-0.342023253
PARVA	-1.430566749	-1.134090611
PARVB	0.022852512	0.03191985
PARVG	-0.389754786	-0.137058344
PASD1	0.160358727	-0.610430396
PASK	0.349801961	-1.524894134
PATE1	-0.180629455	-0.42032337
PATE2	-0.017501107	-0.017034091
PATE3	0.298201223	-0.576510325
PATE4	0.079515762	-0.579832208
PATL1	-0.115771595	-1.289057032
PATL2	0.364759287	0.53917523
PATZ1	-0.501280706	-1.46652836
PAWR	0.575654897	-0.889184053
PAX1	-0.111415999	-0.982279003
PAX2	-0.307824776	-0.072713644
PAX3	0.299923521	0.336755828
PAX4	-0.491634217	-0.866585377
PAX5	-0.031692903	-0.155032081
PAX6	-0.393012395	0.288110594
PAX7	-0.220716209	-0.962775505
PAX8	0.144781872	-0.606553014
PAX9	0.009310149	-0.703765009
PAXIP1	-0.1896635	-0.363870626
PBK	0.39407986	-0.781367644
PBLD	-0.372609006	-0.781917709
PBOV1	0.072395979	-0.294906022
PBRM1	-0.30345808	-0.618270695
PBX1	0.672424533	0.740501072
PBX2	-0.123931623	-1.691581963
PBX3	0.169395155	-0.279734615
PBX4	-0.095151008	-0.420345172
PBXIP1	-0.373593219	-0.395284177
PC	-0.594017865	-1.016524931
PCBD1	-0.334267721	-0.279984491
PCBD2	-0.014054589	-0.403001817
PCBP1	-0.986613387	-1.443142028
PCBP2	-2.627647147	-2.067274848
PCBP3	0.283251336	-0.008145341
PCBP4	0.195615219	-0.85079295
PCCA	-0.536294809	-0.671197271
PCCB	0.197674598	0.093535206
PCDH1	-0.054304638	-2.123944064
PCDH10	-0.228850849	-0.48466255
PCDH11X	0.02513624	-0.526771865
PCDH11Y	0.151662188	-0.337709954
PCDH12	-0.168056985	-0.218849455
PCDH15	-0.221696708	-0.79272895
PCDH17	0.098680669	-1.057066817
PCDH18	-0.610756792	-1.215998345
PCDH19	-0.047558106	-0.15069559
PCDH20	-0.518984034	-0.690731116
PCDH7	-1.178475883	-0.856103506
PCDH8	0.020387935	-0.788093634
PCDH9	-0.365108833	-0.804086604
PCDHA1	-1.697667969	-1.878190283
PCDHA10	-0.214640365	-0.416097469
PCDHA11	-0.336905638	0.247429431
PCDHA12	0.299560282	0.413266669
PCDHA13	-0.568251856	0.063026483
PCDHA2	0.713044714	-3.200621799
PCDHA3	-0.032144665	-0.162626476
PCDHA4	0.1845647	-0.784316186
PCDHA5	0.125354847	0.083457307
PCDHA6	-0.107050713	0.362976873
PCDHA7	-0.404754526	-0.292247315
PCDHA8	-0.588708282	-0.817767116
PCDHA9	-0.62928	0.734794495
PCDHAC1	0.062156476	-1.640259551
PCDHAC2	-0.521289803	-0.439136856
PCDHB1	-0.332726948	0.066103695
PCDHB10	-0.115486666	-0.513320653
PCDHB11	-0.313918966	-0.873165675
PCDHB12	0.314323927	-1.710187536
PCDHB13	-0.103004215	-0.428094966
PCDHB14	-0.566470619	-0.304301295
PCDHB15	-0.518669955	-3.359420863
PCDHB16	0.125782448	-0.516965362
PCDHB2	-0.180193877	-0.953332957
PCDHB3	-0.464639895	-2.528126849
PCDHB4	-0.095613044	-0.070661652
PCDHB5	-0.168555889	-0.051464221
PCDHB6	0.026139006	-0.583707422
PCDHB7	-0.298571083	-0.962935092
PCDHB8	-0.148994325	-1.386424439
PCDHB9	-0.068916577	-0.444492327
PCDHGA1	0.050476181	-0.349217316
PCDHGA10	-0.200532987	-0.62105324
PCDHGA9	0.286181371	0.213349091
PCDHGB5	0.075551033	-0.303184373
PCDP1	-0.392528319	-1.510614667
PCF11	-0.931464086	-0.380274963
PCGF1	0.220300987	-2.511237995
PCGF2	0.066795214	-1.205130877
PCGF3	-0.808543239	-0.634637207
PCGF5	0.023204199	-0.575199604
PCGF6	-0.324609755	-0.95663815
PCID2	-1.438584184	-2.881855575
PCIF1	-0.629253242	-0.805818334
PCK1	-0.37533315	-0.038703585
PCK2	-0.326791195	-0.511355363
PCLO	-0.718267563	-0.354722292
PCM1	-0.680332205	-1.785240644
PCMT1	0.520236534	0.531151645
PCMTD1	-0.670987387	-0.233160299
PCMTD2	-0.103887054	-0.786500562
PCNA	-2.839925136	-2.622750333
PCNP	0.10726835	-0.797651355
PCNT	0.125681139	-1.753640025
PCNX	-0.102463079	-0.35263052
PCNXL2	-0.247925225	-0.803485363
PCNXL3	-0.971671828	0.056316826
PCOLCE	-0.532417154	-0.88227573
PCOLCE2	-0.093924218	-0.720723072
PCP2	-0.02493373	-1.543218296
PCP4	-0.206486544	0.246328748
PCP4L1	-0.574474125	-0.28491122
PCSK1	-0.81560132	-0.37438934
PCSK1N	-0.17239573	-1.198983849
PCSK2	0.082320058	-1.209097179
PCSK4	-0.213512564	-0.031417759
PCSK5	-0.630024902	-0.420764228
PCSK6	-0.394140957	-3.559006662
PCSK7	-0.632577759	-2.186556361
PCSK9	-0.251548409	-2.133791326
PCTP	-0.04383817	-0.608913973
PCYOX1	-0.651902146	-0.873225141
PCYOX1L	-0.003644552	-1.076558173
PCYT1A	-2.213288908	-2.18234137
PCYT1B	-0.146357709	-0.595493096
PCYT2	-0.329682793	-1.526599449
PDAP1	-0.454414889	-0.772264935
PDC	-0.536751119	-0.099665578
PDCD1	-0.089803442	-0.808057356
PDCD10	0.446101877	-0.636958002
PDCD11	-0.366265049	-1.728250189
PDCD1LG2	0.049400738	-0.891454073
PDCD2	-2.35778248	-1.434563636
PDCD2L	-0.851881539	-1.376033512
PDCD4	-0.491746168	-1.690913738
PDCD5	-0.702244724	-0.218294317
PDCD6	-0.431055956	-0.620278208
PDCD6IP	-0.306244942	-0.464210877
PDCD7	-0.949548906	-1.31690762
PDCL	-0.391589179	-0.243804094
PDCL2	-0.651773683	-1.720358839
PDCL3	-1.417748338	-2.017319553
PDDC1	-0.423818979	-0.351942468
PDE10A	-0.294459242	-0.737826608
PDE11A	-0.330691355	0.336347588
PDE12	-0.187329414	0.442453855
PDE1A	-0.759643985	-0.527604195
PDE1B	-1.215405238	-3.614503822
PDE1C	-0.093532953	-0.76169115
PDE2A	-0.037411224	-0.503311946
PDE3A	-0.757945608	0.251263995
PDE3B	-0.278091078	-1.085456989
PDE4A	-0.519305858	-0.18029821
PDE4B	-0.722431938	0.27111839
PDE4C	-0.310008611	-0.750241728
PDE4D	0.210295914	-1.31657022
PDE4DIP	-0.720100854	-0.531460595
PDE5A	-0.736377443	-0.664118903
PDE6A	-0.003881	-0.386772922
PDE6B	-0.45287656	-1.681033042
PDE6C	-0.261524167	-0.073408472
PDE6D	-0.282412089	-2.92272748
PDE6G	-0.151970779	-0.091824293
PDE6H	-0.249475761	-0.419179067
PDE7A	-0.512339188	-0.481453524
PDE7B	-0.201903869	-0.935760496
PDE8A	-0.172735395	-0.403212608
PDE8B	-0.028169389	-0.002830757
PDE9A	0.139137469	-1.116441258
PDF	-2.241083676	-2.276538045
PDGFA	-0.784012663	-1.608892766
PDGFB	-0.500205848	-0.835859927
PDGFC	-0.015464451	-0.163157068
PDGFD	-0.268091391	-1.737035602
PDGFRA	-0.439690289	-0.98678469
PDGFRB	-0.311796892	-0.176379878
PDGFRL	-0.250469828	-0.676539368
PDHA1	-0.155451105	-0.672178394
PDHA2	0.109420477	-0.297423489
PDHB	0.184406936	-0.177886183
PDHX	-0.249907939	-0.872773263
PDIA2	0.182062332	-0.138187271
PDIA3	0.253329886	-0.595959504
PDIA4	-0.499755069	-0.606164484
PDIA5	-0.287429321	-0.777225689
PDIA6	-0.039040231	-0.733911474
PDIK1L	-0.427445235	-2.417272956
PDILT	-0.431879541	-0.425012262
PDK1	-0.433698107	-0.414224779
PDK2	-0.336733079	-0.613480405
PDK3	0.594336325	-4.693739332
PDK4	-0.201957667	-0.740672634
PDLIM1	0.327594416	-0.665685165
PDLIM2	0.120778848	-0.912302681
PDLIM3	-0.405397459	-0.378999637
PDLIM4	-0.428367701	-0.890017589
PDLIM5	-0.232330193	-0.842357694
PDLIM7	-0.663542342	-0.925511874
PDP1	-0.096633475	-0.24017403
PDP2	-0.589983967	-1.0961588
PDPK1	-1.385255775	-2.933148877
PDPN	0.255964329	-0.777636428
PDPR	-0.5850425	-1.226461611
PDRG1	-1.26215891	-1.728928151
PDS5A	-0.367702824	-0.887960872
PDS5B	-0.157931166	-0.430976997
PDSS1	-0.398483276	-2.165188369
PDSS2	-0.183773889	-0.985476641
PDX1	-0.013919342	-1.417120629
PDXDC1	-0.096140154	-1.182410868
PDXK	-0.763672554	-0.70624248
PDXP	-0.164246523	-0.009792404
PDYN	-0.170757476	-0.922265365
PDZD11	-0.453971216	-1.349604873
PDZD2	-0.081098451	-0.774095922
PDZD3	-0.12144413	-0.274749185
PDZD4	-0.073631892	-1.092413614
PDZD7	-0.635698016	-2.27747803
PDZD8	-0.034864235	-0.05945318
PDZD9	-0.135515756	0.39866897
PDZK1	-0.309904231	-1.672418195
PDZK1IP1	-0.556736889	-0.665499552
PDZRN3	-0.328451284	-1.810516857
PDZRN4	-0.408567014	-0.850423372
PEA15	-0.507982745	-1.441620585
PEAR1	-0.184041715	0.075083048
PEBP1	-0.124104441	-0.047920146
PEBP4	-0.128600622	-1.021091884
PECAM1	-0.810133406	-0.633731368
PECR	-0.24715436	-0.245086501
PEF1	-0.81372654	-2.012348474
PEG10	-0.383513164	-1.312743392
PEG3	-0.114739153	0.067728083
PELI1	0.15037077	-0.351048832
PELI2	0.140550946	-1.052733191
PELI3	-0.121637611	-0.172596165
PELO	-1.815290478	-3.449882
PEMT	-0.26101958	-1.012126658
PENK	-0.093337452	-0.004581579
PEPD	-0.710627011	-1.313738099
PER1	-0.763095266	-0.6216496
PER2	-0.365251146	-0.851004049
PER3	-0.202055144	0.115954781
PERP	-0.376888714	-2.064940903
PES1	-1.509080639	-1.784295855
PEX1	-0.590522836	-0.71058713
PEX10	-0.509227456	-0.720617562
PEX11A	-0.600309373	-0.796507503
PEX11B	-0.183562923	-1.554328222
PEX11G	-0.268808885	-0.233861347
PEX12	-0.64149312	-0.200980942
PEX13	-0.648911228	-0.716144495
PEX14	-0.34460661	-1.119765325
PEX16	-0.808832297	-1.016673329
PEX19	-0.059424901	-2.154154359
PEX2	0.010905235	-0.610543727
PEX26	0.346186631	0.114098195
PEX3	-0.512303982	-0.147528471
PEX5	-0.618287199	-1.074285468
PEX5L	-0.148404602	-0.10640647
PEX6	0.063777324	-0.387320446
PEX7	-0.251321956	-1.851235302
PF4	-0.305985384	-0.155350612
PF4V1	0.226587757	-0.759255741
PFAS	-0.36400924	-0.868500315
PFDN1	-0.795342254	-1.208123011
PFDN2	-0.916221202	-1.933325138
PFDN4	-0.465625082	-0.949796501
PFDN5	-0.508340804	-1.928144061
PFDN6	-1.638978097	-1.920609599
PFKFB1	-1.074940122	-0.779671945
PFKFB2	-0.207735176	-2.313156547
PFKFB3	-0.256615648	-1.183523447
PFKFB4	-1.050550823	-0.474218752
PFKL	-0.075320001	-0.600508804
PFKM	-0.428516076	-0.967958359
PFKP	-0.83050961	-2.19265406
PFN1	-3.011038668	-3.579128271
PFN2	-0.046639769	-0.338734496
PFN3	0.247522862	-0.439268422
PFN4	-0.146331782	-0.889744675
PGAM1	-1.439797385	-1.470497278
PGAM2	-0.010906389	-0.894776601
PGAM4	-0.436801239	-0.91114878
PGAM5	-0.38478565	-1.099865701
PGAP1	-0.199233971	0.419035324
PGAP2	-0.092871855	-0.052675436
PGAP3	0.014537892	-0.831595881
PGBD1	-0.305396191	-0.83117624
PGBD2	-0.878905081	-0.151858282
PGBD3	0.208520542	-0.75305166
PGBD4	0.084729633	-0.733092882
PGC	-0.28072228	0.915728791
PGD	-0.353775222	-0.966452127
PGF	-0.473307905	-0.671509483
PGGT1B	-1.746796717	-1.746895237
PGK1	-1.232094971	-2.698820947
PGK2	0.270092794	-0.803299233
PGLS	-0.335831468	-1.210651134
PGLYRP1	-0.249916071	-1.29182549
PGLYRP2	-0.446562758	-2.997484854
PGLYRP3	-0.240697862	0.168166254
PGLYRP4	0.360342282	-0.690261587
PGM1	-0.156829004	-0.406397984
PGM2	-0.268661606	-1.323019342
PGM2L1	0.062637924	-0.750549149
PGM3	-0.281515915	-1.253986962
PGM5	-0.45481603	-0.547339918
PGP	-0.985732594	-1.272433817
PGPEP1	-0.451276575	-0.867589552
PGPEP1L	-0.720065582	-0.616701983
PGR	0.164314867	-0.505797303
PGRMC1	-0.299179422	0.088189139
PGRMC2	-1.314068069	-1.638520759
PGS1	-0.102032298	-0.580332629
PHACTR1	-0.379089273	-1.630056383
PHACTR2	-0.185308146	-1.804477401
PHACTR3	0.075078542	-1.333450217
PHACTR4	-0.641329646	-1.23261416
PHAX	-0.157304903	-1.714818412
PHB	-1.851386153	-1.50474305
PHB2	-1.63563845	-3.56124845
PHC1	-0.261901595	-1.093405199
PHC2	-0.164239506	-0.755090537
PHC3	0.473496762	-0.60211138
PHEX	0.439144216	0.20669943
PHF1	-0.129771431	-0.391675786
PHF10	-0.617529111	-1.076955999
PHF11	-0.317420023	-0.632739655
PHF12	-0.342722817	-0.615408445
PHF13	0.070134984	-0.853716007
PHF14	-0.44920724	-0.625137331
PHF15	0.20272288	-1.38249666
PHF16	0.105251645	-1.01793282
PHF17	-1.399455108	-0.545084348
PHF19	-0.47972178	0.989969987
PHF2	-0.085455311	-2.205597716
PHF20	-0.623026368	-0.659101215
PHF20L1	-0.190696688	-0.593936673
PHF21A	-0.220847811	-0.60049354
PHF21B	-0.337903245	-1.497839229
PHF23	-0.347047161	-0.73430019
PHF3	-0.360457236	-0.107821912
PHF5A	0.022857356	0.105232695
PHF6	-0.11049412	-0.034707093
PHF7	-0.325303775	-3.817348588
PHF8	-0.26212826	-1.201535884
PHGDH	-0.766464774	-1.452276131
PHGR1	-0.220328183	-1.706463604
PHIP	-0.493611714	-0.626801569
PHKA1	-0.642020127	-0.815993342
PHKA2	0.12499613	-0.220278819
PHKB	-0.102985196	-0.144379733
PHKG1	-0.117300136	-0.281649468
PHKG2	-0.081348876	-1.488216236
PHLDA1	-0.497905567	-0.420491637
PHLDA2	-0.51351641	-0.088849233
PHLDA3	-0.40049917	-0.292442115
PHLDB1	-0.166218482	-0.607969517
PHLDB2	-0.221634226	0.357278593
PHLDB3	0.234396974	0.959261243
PHLPP1	-0.385607447	-0.416670983
PHLPP2	-0.385844924	-0.300597144
PHOSPHO1	-0.144836018	0.311589455
PHOSPHO2	-0.22932572	-0.736485821
PHOX2A	-0.50167768	-0.269903862
PHOX2B	-1.066842762	-3.045240916
PHPT1	-0.07350848	-1.507870468
PHRF1	0.023376357	-0.352185616
PHTF1	-0.862969841	-0.880314431
PHTF2	-0.296723276	-0.02756304
PHYH	0.169439902	-0.150318417
PHYHD1	0.115597375	-0.566858825
PHYHIP	0.394000389	0.515460505
PHYHIPL	0.535617424	-0.148073737
PI15	-0.19463141	-1.075687617
PI16	0.004741072	-1.460783563
PI3	-0.363573754	-0.681565058
PI4K2A	-0.00062781	-0.299532838
PI4K2B	0.117676704	-0.7592642
PI4KA	-0.68548458	-1.421976131
PI4KB	-1.579792512	-0.850300078
PIAS1	-0.392168203	-0.881292943
PIAS2	-0.311031306	-0.539290808
PIAS3	-0.79462379	-1.061206692
PIAS4	0.019770207	0.22330071
PIBF1	-0.629639735	-0.294655125
PICALM	-0.048143247	-0.296106007
PICK1	0.028160706	-0.121438803
PID1	-0.316619545	-0.593430751
PIF1	0.049044995	-1.463287147
PIGA	-0.550971085	-0.370347921
PIGB	-0.062097151	-0.250208672
PIGC	-0.431009042	-1.569309789
PIGF	-0.291269777	-2.628218112
PIGG	0.053287739	-0.080811191
PIGH	-0.799575966	-1.338992423
PIGK	-0.42386915	-0.104228227
PIGL	-0.858922412	-2.195570325
PIGM	-0.148581199	-1.483769807
PIGN	0.023270855	-0.345052346
PIGO	-0.004201768	-0.449122905
PIGP	-0.392766932	-0.170417398
PIGQ	-0.384312706	-1.168191653
PIGR	-0.599391308	-0.684595788
PIGS	-0.219579734	-0.69399358
PIGT	-0.065765768	-0.94094685
PIGU	0.140339826	-0.814336547
PIGV	-0.289757436	-2.58164274
PIGW	-0.375830951	-0.160872699
PIGX	-0.363639934	-0.449966517
PIGY	-0.624224049	-1.149069956
PIGZ	-0.309154659	-0.383299853
PIH1D1	0.144687008	-0.339572891
PIH1D2	-0.067916631	-0.278494492
PIK3AP1	-0.190288133	-0.805960927
PIK3C2A	-0.3368875	-0.254136459
PIK3C2B	-0.96930435	-1.205928726
PIK3C2G	0.341983153	0.114690259
PIK3C3	-0.790693438	-1.096766764
PIK3CA	0.077624327	-0.801058584
PIK3CB	-0.395680783	-0.36822324
PIK3CD	-0.318147866	0.121981027
PIK3CG	-0.684212973	-0.938540242
PIK3IP1	-0.197075947	-0.930786155
PIK3R1	-0.669083259	-0.655692413
PIK3R2	-0.465940119	-1.569709957
PIK3R3	-0.234781161	0.69107915
PIK3R4	-0.505520391	-0.902151414
PIK3R5	-0.080302628	-0.241592405
PIK3R6	-1.048503707	-1.154405957
PIKFYVE	-0.137371116	-1.250216511
PILRA	-0.180415451	-0.095497268
PILRB	-0.54676472	-1.909466405
PIM1	-0.477202363	-2.409722209
PIM2	-0.204732659	-1.246616962
PIM3	0.1019627	-0.812338573
PIN1	-0.60466585	-1.491719149
PIN4	-1.369152169	-3.008434034
PINK1	0.674744611	-1.376898991
PINX1	-0.245435213	-0.406420052
PION	0.002820519	-0.38054502
PIP	0.087259375	-0.40638835
PIP4K2A	-0.039779294	0.103766591
PIP4K2B	-0.01797467	0.204126843
PIP4K2C	-0.43459323	-0.061770859
PIP5K1A	-0.834915388	-0.580872654
PIP5K1B	-0.365542978	-1.097735551
PIP5K1C	0.484135748	-0.869147328
PIP5KL1	0.182319859	-1.213557103
PIPOX	0.063077774	-0.003364181
PIR	-0.198659269	-1.00435119
PIRT	-0.136932131	-0.480683091
PISD	-1.284883511	-1.933159298
PITPNA	-0.719857885	-0.894929278
PITPNB	-0.194174881	-1.324664437
PITPNC1	-0.301927928	-0.061178631
PITPNM1	-0.522610883	-0.576806959
PITPNM2	0.122630386	-1.457289597
PITPNM3	-0.802515211	0.18897149
PITRM1	-0.047269675	-0.711863943
PITX1	-0.347385403	-1.007055878
PITX2	0.217399077	0.084207266
PITX3	0.001445526	-0.77456992
PIWIL1	-0.003220752	-0.447874329
PIWIL2	0.088303963	-3.183603929
PIWIL3	-0.378635408	-1.194177775
PIWIL4	0.351244662	-0.246156419
PJA1	-0.133412535	-0.972810188
PJA2	-0.425116578	-1.389000579
PKD1	-2.121794003	-3.032192779
PKD1L1	-0.384102333	-0.51905484
PKD1L3	0.108444298	-0.809060063
PKD2	-0.217580951	-1.401510672
PKD2L1	-0.389657119	0.030978145
PKD2L2	-0.157043636	-0.694894627
PKDCC	0.25626996	-0.543873617
PKDREJ	0.197301232	0.412359759
PKHD1	-0.285218633	-0.138015167
PKHD1L1	0.502710767	-1.244466097
PKIA	0.051564396	-0.746593378
PKIB	0.039232011	-0.467000702
PKIG	-0.445690156	-0.840009687
PKLR	-0.000800822	-0.83380456
PKMYT1	-1.855300796	-2.471732274
PKN1	-0.398429768	-0.787154866
PKN2	-1.066200696	-1.828967711
PKN3	-0.821868782	-2.916114844
PKNOX1	-0.423848425	-0.49140761
PKNOX2	0.479426849	-1.038069038
PKP1	0.15279674	-0.264311718
PKP2	-0.204789804	-0.179149019
PKP3	0.177071572	0.088268778
PKP4	-0.261877602	-0.015060977
PLA1A	-0.212228983	-1.159704172
PLA2G10	-1.241370631	-0.76588344
PLA2G12A	-0.082219091	-0.681653258
PLA2G12B	0.03689938	-0.848046859
PLA2G15	-0.130145848	0.001503736
PLA2G16	0.210019654	-0.428781674
PLA2G1B	-1.02910344	-0.413023351
PLA2G2A	-0.219175861	-0.919850577
PLA2G2D	-0.144502142	-0.514941857
PLA2G2E	0.531312531	-1.679053397
PLA2G2F	0.029805828	-0.468522267
PLA2G3	-0.391757167	-0.985729415
PLA2G4A	-0.496192825	-1.16577394
PLA2G4C	-0.066530692	-0.715353346
PLA2G4D	-0.468936702	-1.238423409
PLA2G4E	-0.668229821	-0.863127674
